Name,Language,Link,Difficulty
Repo 1,Python,Link 1,70%
Repo 2,Java,Link 2,35%
Repo 3,Python,Link 3,56%
Repo 4,Python,Link 4,58%
Repo 5,JavaScript,Link 5,96%
Repo 6,Python,Link 6,73%
Repo 7,Python,Link 7,71%
Repo 8,Java,Link 8,55%
Repo 9,Python,Link 9,80%
Repo 10,Python,Link 10,65%
Repo 11,Java,Link 11,16%
Repo 12,Java,Link 12,8%
Repo 13,Python,Link 13,10%
Repo 14,JavaScript,Link 14,70%
Repo 15,JavaScript,Link 15,7%
Repo 16,Java,Link 16,43%
Repo 17,JavaScript,Link 17,6%
Repo 18,JavaScript,Link 18,74%
Repo 19,Java,Link 19,16%
Repo 20,Python,Link 20,55%
Repo 21,JavaScript,Link 21,16%
Repo 22,Java,Link 22,33%
Repo 23,JavaScript,Link 23,45%
Repo 24,Python,Link 24,72%
Repo 25,JavaScript,Link 25,74%
Repo 26,JavaScript,Link 26,33%
Repo 27,JavaScript,Link 27,25%
Repo 28,JavaScript,Link 28,37%
Repo 29,Java,Link 29,97%
Repo 30,Java,Link 30,6%
Repo 31,Python,Link 31,51%
Repo 32,Python,Link 32,76%
Repo 33,Java,Link 33,36%
Repo 34,Python,Link 34,94%
Repo 35,Java,Link 35,96%
Repo 36,Python,Link 36,56%
Repo 37,Java,Link 37,17%
Repo 38,Java,Link 38,76%
Repo 39,Python,Link 39,37%
Repo 40,Java,Link 40,46%
Repo 41,Python,Link 41,83%
Repo 42,Java,Link 42,91%
Repo 43,JavaScript,Link 43,30%
Repo 44,Python,Link 44,55%
Repo 45,JavaScript,Link 45,39%
Repo 46,JavaScript,Link 46,20%
Repo 47,Java,Link 47,85%
Repo 48,Python,Link 48,54%
Repo 49,JavaScript,Link 49,49%
