,User,Project,Repository URL,About,License,Stars,Languages,nloc,avgNloc,avgCcn,avgToken,fCnt,difficulty
0,torvalds,linux,https://github.com/torvalds/linux,Linux kernel source tree,LICENSES,159k,"['C 98.2', 'Assembly 0.8', 'Shell 0.4', 'Makefile 0.2', 'Python 0.2', 'Perl 0.1', 'Other 0.1']",18998600,20.2,4.2,126,677668,80
1,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,Apache-2.0 license,178k,"['C++ 56.3', 'Python 27.1', 'MLIR 5.7', 'Starlark 4.0', 'HTML 2.8', 'Go 1.3', 'Other 2.8']",3343460,14.3,2.4,112.9,190105,
2,microsoft,vscode,https://github.com/microsoft/vscode,Visual Studio Code,MIT license,152k,"['TypeScript 93.6', 'JavaScript 2.0', 'CSS 1.6', 'Rust 0.9', 'HTML 0.8', 'Inno Setup 0.6', 'Other 0.5']",1027381,6.9,1.7,50.9,58859,
3,kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Apache-2.0 license,102k,"['Go 96.9', 'Shell 2.7', 'PowerShell 0.2', 'Makefile 0.1', 'Dockerfile 0.1', 'Python 0.0']",3999575,13.4,2.8,90.5,198947,
4,pytorch,pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,View license,71.4k,"['Python 48.0', 'C++ 42.3', 'Cuda 3.8', 'C 2.2', 'Objective-C++ 1.4', 'CMake 0.8', 'Other 1.5']",15,1,99,2,15,90
5,tiangolo,fastapi,https://github.com/tiangolo/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",MIT license,63.3k,['Python 100.0'],84843,18.2,1.3,85.7,3973,
6,jupyter,notebook,https://github.com/jupyter/notebook,Jupyter Interactive Notebook,BSD-3-Clause license,10.6k,"['Jupyter Notebook 77.6', 'TypeScript 15.9', 'Python 2.2', 'JavaScript 1.8', 'CSS 1.7', 'HTML 0.8']",4817,8.1,1.7,49.4,342,
7,flutter,flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,BSD-3-Clause license,157k,"['Dart 98.7', 'C++ 0.3', 'Objective-C 0.2', 'CMake 0.2', 'Java 0.1', 'Groovy 0.1', 'Other 0.4']",9020,10.2,2,67.3,684,
8,OpenMDAO,OpenMDAO-Framework,https://github.com/OpenMDAO/OpenMDAO-Framework,"A python based open-source (Apache 2.0) engineering analysis framework designed to facilitate the use of MDAO. To add issues, visit our user forums at http://www.openmdao.org/forum . NOTE: this version is no longer being developed. The current active version can be found here: https://github.com/OpenMDAO/OpenMDAO.",View license,150,"['Python 86.5', 'Fortran 7.7', 'HTML 3.3', 'C 2.3', 'Shell 0.1', 'Batchfile 0.1']",2,1,11,2,2,
9,facebook,react-native,https://github.com/facebook/react-native,A framework for building native applications using React,MITLICENSE,112k,"['Java 26.8', 'C++ 26.4', 'JavaScript 16.1', 'Objective-C++ 11.4', 'Objective-C 9.7', 'Kotlin 4.4', 'Other 5.2']",481568,7.2,2.3,54.5,39626,
10,openai,DALL-E,https://github.com/openai/DALL-E,PyTorch package for the discrete VAE used for DALL·E.,View license,10.5k,"['Python 77.1', 'Jupyter Notebook 22.9']",232,10.7,3.6,136.5,14,
11,WongKinYiu,yolov7,https://github.com/WongKinYiu/yolov7,Implementation of paper - YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,LICENSE.md,11.4k,"['Jupyter Notebook 98.8', 'Python 1.2']",8710,14.9,4.1,180.2,471,
12,jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,Jenkins automation server,MIT license,21.5k,"['Java 85.8', 'HTML 6.7', 'JavaScript 2.9', 'SCSS 2.4', 'CSS 1.4', 'Groovy 0.5', 'Other 0.3']",236520,7.8,2.2,65.1,22976,
13,ansible,ansible,https://github.com/ansible/ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",licenses,58.8k,"['Python 88.0', 'PowerShell 6.9', 'Shell 2.6', 'C# 2.1', 'Jinja 0.4', 'Go 0.0']",183940,12.2,3.5,89,9861,
14,microsoft,LightGBM,https://github.com/microsoft/LightGBM,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.",MIT license,15.5k,"['C++ 50.9', 'Python 20.3', 'R 12.4', 'Cuda 9.6', 'C 3.2', 'Shell 1.5', 'Other 2.1']",60145,16.8,3.3,127.1,3065,
15,elastic,elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open, Distributed, RESTful Search Engine",View license,65.3k,"['Java 99.7', 'Groovy 0.2', 'StringTemplate 0.1', 'Shell 0.0', 'ANTLR 0.0', 'Python 0.0']",2681236,11.9,1.9,91.1,178722,
16,OpenBMB,ChatDev,https://github.com/OpenBMB/ChatDev,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration),Apache-2.0 license,12.3k,"['Python 70.6', 'JavaScript 21.4', 'CSS 5.1', 'HTML 2.9']",9483,9.2,2.4,64.8,835,
